                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  0.776,                0.44867,                0.99461,                0.91007,                0.84729,                0.92738,                0.71703,                0.85652,                0.48726,                 1.0445,              0.0087328,              0.0087328,              0.0087328
                     66,                0.77736,                0.44828,                0.99599,                 0.9284,                0.83167,                0.91713,                0.71568,                0.86149,                0.53272,                 1.0199,               0.008713,               0.008713,               0.008713
                     67,                  0.765,                0.44096,                0.98825,                0.97383,                0.94066,                0.98038,                0.82334,                0.66552,                0.32051,                0.91153,              0.0086932,              0.0086932,              0.0086932
                     68,                0.77088,                0.44508,                0.99359,                0.96099,                0.89223,                0.95247,                0.75999,                0.79724,                0.42298,                 0.9789,              0.0086734,              0.0086734,              0.0086734
                     69,                0.76366,                0.44096,                0.99023,                0.92592,                0.86162,                0.92704,                0.71763,                0.88564,                0.48902,                 1.0319,              0.0086536,              0.0086536,              0.0086536
                     70,                0.76441,                 0.4354,                0.99096,                0.97436,                0.95288,                0.98286,                0.84173,                0.63303,                 0.2984,                0.89768,              0.0086338,              0.0086338,              0.0086338
                     71,                0.75915,                 0.4352,                 0.9896,                0.94178,                0.91758,                0.96364,                0.77835,                0.76312,                0.37858,                0.96699,               0.008614,               0.008614,               0.008614
                     72,                0.76171,                0.43842,                0.98511,                0.98015,                0.95375,                0.98438,                0.84496,                0.61108,                0.28791,                0.88099,              0.0085942,              0.0085942,              0.0085942
                     73,                0.75693,                0.43806,                0.98528,                0.98595,                0.95419,                0.98715,                0.84734,                0.61082,                0.28694,                0.88423,              0.0085744,              0.0085744,              0.0085744
                     74,                 0.7607,                0.43439,                 0.9917,                0.98595,                 0.9491,                0.98409,                0.85024,                0.59522,                0.28629,                0.87771,              0.0085546,              0.0085546,              0.0085546
